filename,protocol,serialNum,access ip src,access ip dst,access src port,access dst port,access payload packet lengths,access payload packet timestamps sequence,"access ip packet lengths, (including packets with zero payload, and ip header)","access ip packet timestamp sequence, (including packets with zero payload)","access default lengths sequence, the default length sequences is the payload lengths sequences",access sni of the flow if any else empty str
./pcap/1592754322_clear.pcap,tcp,2,10.82.8.58,87.240.137.206,48943,443,"[171, -1370, -1024]","[1592754332.516003, 1592754333.506533, 1592754341.157636]","[60, -52, 40, 211, -1410, 40, -1064, 40, 40, -40, 40]","[1592754329.508596, 1592754332.515984, 1592754332.515993, 1592754332.516003, 1592754333.506533, 1592754333.506548, 1592754341.157636, 1592754341.157648, 1592754346.628817, 1592754346.914112, 1592754346.914114]"
./pcap/1592754322_clear.pcap,tcp,3,10.82.8.58,87.240.137.206,48944,443,"[171, -1208]","[1592754344.451481, 1592754344.451491]","[60, -52, 40, 211, -40, -1248, 52, 60, 52, 52, -40, 40]","[1592754329.508604, 1592754344.451468, 1592754344.451471, 1592754344.451481, 1592754344.451487, 1592754344.451491, 1592754344.451494, 1592754345.327134, 1592754346.326589, 1592754346.628819, 1592754346.914107, 1592754346.91411]"
./pcap/1592754322_clear.pcap,tcp,4,10.82.8.58,87.240.137.206,48945,443,"[171, -1370, -2576, 93, -69, 616, -1308, 394, 243, 1350, 300, 1350, 1350, 1350, 1350, 1350, 1350, 958]","[1592754329.50862, 1592754329.508629, 1592754329.803942, 1592754329.804073, 1592754330.287781, 1592754330.287791, 1592754330.526794, 1592754331.576584, 1592754331.576596, 1592754332.515501, 1592754332.516012, 1592754339.229441, 1592754339.229511, 1592754339.23021, 1592754339.230248, 1592754339.230251, 1592754340.226757, 1592754340.226786]","[60, -52, 40, 211, -1410, 40, -2616, 40, 133, -109, 668, -1348, 60, 454, 303, 1410, 360, -52, 1410, 1410, 1410, 1410, 1410, 1410, 1018, -40, 60]","[1592754329.508606, 1592754329.508616, 1592754329.508618, 1592754329.50862, 1592754329.508629, 1592754329.508631, 1592754329.803942, 1592754329.804069, 1592754329.804073, 1592754330.287781, 1592754330.287791, 1592754330.526794, 1592754330.526849, 1592754331.576584, 1592754331.576596, 1592754332.515501, 1592754332.516012, 1592754339.229438, 1592754339.229441, 1592754339.229511, 1592754339.23021, 1592754339.230248, 1592754339.230251, 1592754340.226757, 1592754340.226786, 1592754340.226797, 1592754346.628815]"
./pcap/1592754322_clear.pcap,tcp,6,10.82.8.58,87.240.137.206,48947,443,"[171, -1370, -2577, 93, 858, -69, -51, -51, 38]","[1592754344.451484, 1592754344.451513, 1592754344.936801, 1592754344.936858, 1592754345.327136, 1592754345.969206, 1592754345.969217, 1592754345.969229, 1592754345.96924]","[60, -52, 40, 211, -1410, 40, -2617, 40, 133, 898, -109, 52, -91, 52, -91, 40, 78, 40, -40, 40]","[1592754329.50861, 1592754344.451474, 1592754344.451477, 1592754344.451484, 1592754344.451513, 1592754344.451556, 1592754344.936801, 1592754344.936848, 1592754344.936858, 1592754345.327136, 1592754345.969206, 1592754345.969212, 1592754345.969217, 1592754345.969223, 1592754345.969229, 1592754345.969234, 1592754345.96924, 1592754346.914094, 1592754347.906683, 1592754347.906956]"
./pcap/1592754322_clear.pcap,tcp,7,10.82.8.58,87.240.137.206,48948,443,[171],[1592754330.287831],"[60, -52, 40, 211, 40]","[1592754329.508612, 1592754330.287811, 1592754330.287821, 1592754330.287831, 1592754346.914096]"
./pcap/1592754322_clear.pcap,tcp,8,10.82.8.58,87.240.137.206,48949,443,"[171, -1370, -1370, -1207, 93, 139, -51]","[1592754330.28787, 1592754330.527589, 1592754330.582973, 1592754330.583013, 1592754330.583568, 1592754330.58357, 1592754333.506779]","[60, -52, 40, 211, -1410, 40, -1410, 40, -1247, 40, 133, 179, -91, 40]","[1592754329.508614, 1592754330.287841, 1592754330.287851, 1592754330.28787, 1592754330.527589, 1592754330.527602, 1592754330.582973, 1592754330.58301, 1592754330.583013, 1592754330.583559, 1592754330.583568, 1592754330.58357, 1592754333.506779, 1592754333.506783]"
./pcap/1592754322_clear.pcap,tcp,9,10.82.8.58,87.240.137.206,48950,443,"[171, -1370, -1024]","[1592754330.287326, 1592754334.876491, 1592754346.913975]","[60, -52, 40, 211, -40, -1410, 40, -1064, 40, 40]","[1592754329.508626, 1592754329.804079, 1592754329.804081, 1592754330.287326, 1592754330.28786, 1592754334.876491, 1592754334.876499, 1592754346.913975, 1592754346.914091, 1592754346.914103]"
./pcap/1592754322_clear.pcap,tcp,10,10.82.8.58,87.240.137.206,48951,443,"[171, -1207]","[1592754344.936896, 1592754345.968844]","[60, -52, 40, 211, -40, -1247, 52, 52, -40, 40]","[1592754329.804071, 1592754344.936877, 1592754344.936887, 1592754344.936896, 1592754345.327138, 1592754345.968844, 1592754345.969199, 1592754346.914101, 1592754347.906966, 1592754347.906975]"
./pcap/1592754322_clear.pcap,tcp,12,10.82.8.58,95.142.206.2,40001,443,"[180, -1370, -1233]","[1592754342.15773, 1592754343.802529, 1592754346.628824]","[60, -52, 40, 220, -1410, 52, 40, -1273, 40, 40]","[1592754341.157658, 1592754342.157711, 1592754342.15772, 1592754342.15773, 1592754343.802529, 1592754343.802537, 1592754346.326723, 1592754346.628824, 1592754346.628826, 1592754346.914098]"
./pcap/1592754322_clear.pcap,tcp,13,10.82.8.58,95.142.206.2,40000,443,"[180, -1232]","[1592754344.451241, 1592754347.906631]","[60, -52, 40, 220, -40, 40, -1272, 40]","[1592754341.157667, 1592754343.802553, 1592754343.80256, 1592754344.451241, 1592754344.451464, 1592754346.914105, 1592754347.906631, 1592754347.906653]"
